unique_id,name_th,name_en,last_upd_date
C0000000021,บริษัท หลักทรัพย์จัดการกองทุนกสิกรไทย จำกัด,KASIKORN ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000000023,บริษัท หลักทรัพย์จัดการกองทุนเอ็มเอฟซี จำกัด (มหาชน),MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED,2026-05-03T15:04:04.62
C0000000124,บริษัท หลักทรัพย์จัดการกองทุนเมอร์ชั่น พาร์ทเนอร์ จำกัด,MERCHANT PARTNERS ASSET MANAGEMENT LIMITED,2026-05-03T15:04:04.62
C0000000182,บริษัท หลักทรัพย์จัดการกองทุนทหารไทย จำกัด,TMB ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,SCB ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000000290,บริษัท หลักทรัพย์จัดการกองทุนอเบอร์ดีน (ประเทศไทย) จำกัด,ABERDEEN ASSET MANAGEMENT (THAILAND) LIMITED,2026-05-03T15:04:04.62
C0000000324,บริษัท หลักทรัพย์จัดการกองทุนทิสโก้ จำกัด,TISCO ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000000329,บริษัท หลักทรัพย์จัดการกองทุนรวมบัวหลวง จำกัด,BBL ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000000460,บริษัท หลักทรัพย์จัดการกองทุนกรุงไทย จำกัด (มหาชน),KRUNG THAI ASSET MANAGEMENT PUBLIC COMPANY LIMITED,2026-05-03T15:04:04.62
C0000000569,บริษัท หลักทรัพย์จัดการกองทุน วรรณ จำกัด,ONE ASSET MANAGEMENT LIMITED,2026-05-03T15:04:04.62
C0000000623,บริษัท หลักทรัพย์จัดการกองทุนยูโอบี (ประเทศไทย) จำกัด,UOB ASSET MANAGEMENT (THAILAND) COMPANY LIMITED,2026-05-03T15:04:04.62
C0000000709,บริษัท หลักทรัพย์จัดการกองทุนกรุงศรี จำกัด,KRUNGSRI ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000000714,บริษัท หลักทรัพย์จัดการกองทุนธนชาต จำกัด,THANACHART FUND MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000003575,บริษัท หลักทรัพย์จัดการกองทุนสยาม ไนท์ ฟันด์ แมเนจเม้นท์ จำกัด,SIAM KNIGHT FUND MANAGEMENT SECURITIES COMPANY LIMITED,2026-05-03T15:04:04.62
C0000004884,บริษัท หลักทรัพย์จัดการกองทุนฟินันซ่า จำกัด,FINANSA ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000005022,บริษัท หลักทรัพย์จัดการกองทุนแอสเซท พลัส จำกัด,ASSET PLUS FUND MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000005025,บริษัท หลักทรัพย์จัดการกองทุนเกียรตินาคินภัทร จำกัด,KIATNAKIN PHATRA ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000005531,บริษัท หลักทรัพย์จัดการกองทุนพรินซิเพิล จำกัด,PRINCIPAL ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000006099,บริษัท หลักทรัพย์จัดการกองทุนเอ็กซ์สปริง จำกัด,XSPRING ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000006122,บริษัท หลักทรัพย์จัดการกองทุนรวมฟิลลิป จำกัด,PHILLIP ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000006185,บริษัท หลักทรัพย์จัดการกองทุนเฟิร์ส พลัส (ประเทศไทย) จำกัด,FIRST PLUS ASSET MANAGEMENT (THAILAND) COMPANY LIMITED,2026-05-03T15:04:04.62
C0000006466,บริษัท หลักทรัพย์จัดการกองทุนเรนเนสซานซ์ จำกัด,RENAISSANCE FUND MANAGEMENT LIMITED,2026-05-03T15:04:04.62
C0000006646,บริษัท หลักทรัพย์จัดการกองทุนแลนด์ แอนด์ เฮ้าส์ จำกัด,LAND AND HOUSES FUND MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000021747,บริษัท หลักทรัพย์จัดการกองทุนบางกอกแคปปิตอล จำกัด,BANGKOK CAPITAL ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000024008,บริษัท หลักทรัพย์จัดการกองทุนทาลิส จำกัด,TALIS ASSET MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000028866,บริษัท หลักทรัพย์จัดการกองทุนดาโอ จำกัด,DAOL INVESTMENT MANAGEMENT COMPANY LIMITED,2026-05-03T15:04:04.62
C0000031161,บริษัท หลักทรัพย์จัดการกองทุนเอไอเอ (ประเทศไทย) จำกัด,AIA INVESTMENT MANAGEMENT (THAILAND) LIMITED,2026-05-03T15:04:04.62
C0000033081,บริษัท หลักทรัพย์จัดการกองทุนซาวาคามิ (ประเทศไทย) จำกัด,SAWAKAMI ASSET MANAGEMENT (THAILAND) COMPANY LIMITED,2026-05-03T15:04:04.62
C0000033452,บริษัท หลักทรัพย์จัดการกองทุนอีสท์สปริง (ประเทศไทย) จำกัด,EASTSPRING ASSET MANAGEMENT (THAILAND) COMPANY LIMITED,2026-05-03T15:04:04.62
